StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,cons,image_Id,image_Name,image_Size,image_Type,approval_1,approval_2,approval_3,photo_desc,photo_mean,image_feat_1,image_feat_2,image_feat_3,image_feat_4,image_feat_5,image_feat_6,image_feat_7,image_feat_8,image_feat_9,city,city_other,freq_visit,freq_other,close_living,closeness_other,water_elab,water_other,green_elab,green_other,importance_1,importance_2,importance_3,importance_4,importance_5,importance_6,importance_7,importance_8,importance_9,importance_10,importance_11,importance_12,importance_13,importance_14,acccurate_1,acccurate_2,acccurate_3,acccurate_4,acccurate_5,acccurate_6,acccurate_7,acccurate_8,practice_1,practice_2,practice_3,practice_4,fl_1,fl_2,fl_3,fl_4,fl_5,fl_6,fl_7,fl_8,mlq_1,mlq_2,mlq_3,mlq_4,mlq_5,mlq_6,mlq_7,mlq_8,mlq_9,mlq_10,swl_1,swl_2,swl_3,swl_4,swl_5,shs_1_1,shs_2_1,shs_3_1,shs_4_1,gmh_1,gmh_2,gmh_3,gmh_4,gmh_5,gmh_6,gmh_7,gmh_8,gmh_9,gmh_10,gmh_11,gmh_12,gmh_13,gmh_14,gmh_15,gmh_16,nature,natcon_1,natcon_2,natcon_3,natcon_4,natcon_5,natcon_6,natcon_7,natcon_8,natcon_9,natcon_10,natcon_11,natcon_12,natcon_13,natcon_14,age,gender,reuse,tok_mean,tok_mean_stop,string_stop,pos_sent,neg_sent,neu_sent,com_sent,tok_tagged
1/04/2021 20:17,1/04/2021 21:02,0,122.58.127.134,100,2720,1,1/04/2021 21:02,R_1DqL4EEZ38wKO92,,,,,-41.36749268,174.7153015,anonymous,EN,2,F_1mLwHPcie5WuZ81,"Photo 4-06-16, 12 33 14 PM.jpg",2138747,image/jpeg,2,2,2,This photo is of mount Ruapehu on the Turoa side. ," I have been going up the mountain with my auntie, Uncle and cousin since i was 3 and have continued to do so since. It is special to me as they always take me up when a lot is going on with my immidiate family, spending the weekend up with them gave me a big break from my life.",2,2,1,2,1,1,1,2,2,4,40-50 mins,5,I go up for at least a month in winter as it is open seasonally,1,4.0,"2,7",Snow ,"2,4",,5.0,6.0,6.0,5.0,4.0,3.0,3.0,7.0,7.0,7.0,7.0,5.0,3.0,1.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,1.0,1.0,1.0,1.0,4.0,5.0,4.0,6.0,7.0,5.0,5.0,6.0,4.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,4.0,1.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,2.0,4.0,4.0,5.0,4.0,3.0,6.0,5.0,2.0,5.0,5.0,5.0,3.0,6.0,6.0,3.0,15.0,14.0,16.0,15.0,14.0,14.0,14.0,15.0,15.0,14.0,14.0,14.0,15.0,14.0,18.0,female,9.0,"['i', 'have', 'been', 'going', 'up', 'the', 'mountain', 'with', 'my', 'auntie', 'uncle', 'and', 'cousin', 'since', 'i', 'was', 'and', 'have', 'continued', 'to', 'do', 'so', 'since', 'it', 'is', 'special', 'to', 'me', 'as', 'they', 'always', 'take', 'me', 'up', 'when', 'a', 'lot', 'is', 'going', 'on', 'with', 'my', 'immidiate', 'family', 'spending', 'the', 'weekend', 'up', 'with', 'them', 'gave', 'me', 'a', 'big', 'break', 'from', 'my', 'life']","['going', 'mountain', 'auntie', 'uncle', 'cousin', 'since', 'continued', 'since', 'special', 'always', 'take', 'lot', 'going', 'immidiate', 'family', 'spending', 'weekend', 'gave', 'big', 'break', 'life']",['going mountain auntie uncle cousin since continued since special always take lot going immidiate family spending weekend gave big break life'],0.048,0.0,0.952,0.4019,"[('i', 'NNS'), ('have', 'VBP'), ('been', 'VBN'), ('going', 'VBG'), ('up', 'RP'), ('the', 'DT'), ('mountain', 'NN'), ('with', 'IN'), ('my', 'PRP$'), ('auntie', 'JJ'), ('uncle', 'NN'), ('and', 'CC'), ('cousin', 'NN'), ('since', 'IN'), ('i', 'NN'), ('was', 'VBD'), ('and', 'CC'), ('have', 'VBP'), ('continued', 'VBN'), ('to', 'TO'), ('do', 'VB'), ('so', 'RB'), ('since', 'IN'), ('it', 'PRP'), ('is', 'VBZ'), ('special', 'JJ'), ('to', 'TO'), ('me', 'PRP'), ('as', 'IN'), ('they', 'PRP'), ('always', 'RB'), ('take', 'VBP'), ('me', 'PRP'), ('up', 'RP'), ('when', 'WRB'), ('a', 'DT'), ('lot', 'NN'), ('is', 'VBZ'), ('going', 'VBG'), ('on', 'IN'), ('with', 'IN'), ('my', 'PRP$'), ('immidiate', 'JJ'), ('family', 'NN'), ('spending', 'VBG'), ('the', 'DT'), ('weekend', 'NN'), ('up', 'RP'), ('with', 'IN'), ('them', 'PRP'), ('gave', 'VBD'), ('me', 'PRP'), ('a', 'DT'), ('big', 'JJ'), ('break', 'NN'), ('from', 'IN'), ('my', 'PRP$'), ('life', 'NN')]"
18/04/2021 1:28,18/04/2021 1:45,0,130.195.253.9,100,1028,1,18/04/2021 1:45,R_6VGDzERh5ysffe9,,,,,-41.36749268,174.7153015,anonymous,EN,2,F_1C1i0VCT4y0dHKw,72e0e9028ed41f1ef935c3b5b949d892.jpg,261632,image/jpeg,1,1,2,this is Edinburgh., this is where most of my family is from and where I was born,2,2,2,1,2,1,1,2,2,4,it is the capital city,4,,1,4.0,"1,4,5,6",,"1,3,4,6,7,8,9",,5.0,4.0,2.0,2.0,3.0,2.0,2.0,7.0,7.0,7.0,7.0,1.0,4.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,4.0,4.0,6.0,6.0,5.0,4.0,4.0,2.0,6.0,4.0,5.0,5.0,5.0,7.0,6.0,6.0,6.0,4.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,2.0,15.0,16.0,16.0,15.0,15.0,15.0,15.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,19.0,female,9.0,"['this', 'is', 'where', 'most', 'of', 'my', 'family', 'is', 'from', 'and', 'where', 'i', 'was', 'born']","['family', 'born']",['family born'],0.0,0.0,1.0,0.0,"[('this', 'DT'), ('is', 'VBZ'), ('where', 'WRB'), ('most', 'JJS'), ('of', 'IN'), ('my', 'PRP$'), ('family', 'NN'), ('is', 'VBZ'), ('from', 'IN'), ('and', 'CC'), ('where', 'WRB'), ('i', 'NN'), ('was', 'VBD'), ('born', 'VBN')]"
18/04/2021 1:45,18/04/2021 2:01,0,121.74.125.67,100,961,1,18/04/2021 2:01,R_1FzwU0NGrozOsxH,,,,,-41.36749268,174.7153015,anonymous,EN,2,F_20ZOHkRKl8Nkupm,175644700_727338241276547_1072202483008407314_n.jpg,648925,image/jpeg,2,2,2,"City life in the evening, casual and normal. Nobody in sight yet the feeling of presence is there. Trees lay shadows overhead, painting the cement further black. Worn paint divides the center, lanes are shown and rules are followed as one car follows the other.","Area where I frequently visit whether I am going out or heading home, it's the epicenter of all my activity. I know the sidewalk, I know the streets, I know the restaurants and I've seen it change as I grew up.",2,2,1,1,2,1,2,1,1,4,It's in the city,1,,2,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,5.0,3.0,2.0,2.0,1.0,5.0,4.0,2.0,3.0,4.0,2.0,2.0,7.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,7.0,7.0,6.0,6.0,5.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,5.0,5.0,6.0,5.0,2.0,5.0,6.0,5.0,4.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,4.0,5.0,3.0,3.0,6.0,6.0,2.0,15.0,15.0,16.0,15.0,14.0,14.0,14.0,15.0,16.0,13.0,13.0,14.0,16.0,16.0,20.0,Male,9.0,"['area', 'where', 'i', 'frequently', 'visit', 'whether', 'i', 'am', 'going', 'out', 'or', 'heading', 'home', 'it', 'the', 'epicenter', 'of', 'all', 'my', 'activity', 'i', 'know', 'the', 'sidewalk', 'i', 'know', 'the', 'streets', 'i', 'know', 'the', 'restaurants', 'and', 'i', 'seen', 'it', 'change', 'as', 'i', 'grew', 'up']","['area', 'frequently', 'visit', 'whether', 'going', 'heading', 'home', 'epicenter', 'activity', 'know', 'sidewalk', 'know', 'streets', 'know', 'restaurants', 'seen', 'change', 'grew']",['area frequently visit whether going heading home epicenter activity know sidewalk know streets know restaurants seen change grew'],0.0,0.0,1.0,0.0,"[('area', 'NN'), ('where', 'WRB'), ('i', 'NN'), ('frequently', 'RB'), ('visit', 'IN'), ('whether', 'IN'), ('i', 'NN'), ('am', 'VBP'), ('going', 'VBG'), ('out', 'RP'), ('or', 'CC'), ('heading', 'VBG'), ('home', 'NN'), ('it', 'PRP'), ('the', 'DT'), ('epicenter', 'NN'), ('of', 'IN'), ('all', 'DT'), ('my', 'PRP$'), ('activity', 'NN'), ('i', 'NN'), ('know', 'VBP'), ('the', 'DT'), ('sidewalk', 'NN'), ('i', 'NN'), ('know', 'VBP'), ('the', 'DT'), ('streets', 'NNS'), ('i', 'VBP'), ('know', 'VBP'), ('the', 'DT'), ('restaurants', 'NNS'), ('and', 'CC'), ('i', 'NN'), ('seen', 'VBN'), ('it', 'PRP'), ('change', 'VBP'), ('as', 'IN'), ('i', 'NN'), ('grew', 'VBD'), ('up', 'RP')]"
30/03/2021 1:46,30/03/2021 2:50,0,151.210.244.177,100,3877,1,30/03/2021 2:50,R_1LNIvPQqKizGMXp,,,,,-41.36749268,174.7153015,anonymous,EN,2,F_3hiktG0YRRjzPCg,20200119_132402.jpg,7110786,image/jpeg,2,2,2,this is a place I have been to many times for picnics and bonfires and swims. It is beautiful when the sun is out and ,because I took it in a place that has come to mean a lot to me. it is the first place that I have truly felt at home.,2,2,2,2,1,2,2,2,2,4,2 hours,4,,1,4.0,5,,"4,5,6,10",moutains,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,6.0,6.0,2.0,3.0,1.0,1.0,1.0,1.0,7.0,7.0,1.0,1.0,6.0,1.0,2.0,1.0,1.0,4.0,6.0,4.0,5.0,6.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,2.0,4.0,2.0,5.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,3.0,3.0,3.0,5.0,4.0,4.0,6.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,2.0,4.0,15.0,15.0,16.0,15.0,15.0,16.0,16.0,15.0,15.0,15.0,15.0,13.0,17.0,16.0,18.0,female,9.0,"['because', 'i', 'took', 'it', 'in', 'a', 'place', 'that', 'has', 'come', 'to', 'mean', 'a', 'lot', 'to', 'me', 'it', 'is', 'the', 'first', 'place', 'that', 'i', 'have', 'truly', 'felt', 'at', 'home']","['took', 'place', 'come', 'mean', 'lot', 'first', 'place', 'truly', 'felt', 'home']",['took place come mean lot first place truly felt home'],0.112,0.0,0.888,0.4404,"[('because', 'IN'), ('i', 'NN'), ('took', 'VBD'), ('it', 'PRP'), ('in', 'IN'), ('a', 'DT'), ('place', 'NN'), ('that', 'WDT'), ('has', 'VBZ'), ('come', 'VBN'), ('to', 'TO'), ('mean', 'VB'), ('a', 'DT'), ('lot', 'NN'), ('to', 'TO'), ('me', 'PRP'), ('it', 'PRP'), ('is', 'VBZ'), ('the', 'DT'), ('first', 'JJ'), ('place', 'NN'), ('that', 'IN'), ('i', 'NN'), ('have', 'VBP'), ('truly', 'VBN'), ('felt', 'NNS'), ('at', 'IN'), ('home', 'NN')]"
28/03/2021 15:58,28/03/2021 16:26,0,130.195.253.15,100,1658,1,28/03/2021 16:26,R_3Eokl0BOTurCPpa,,,,,-41.29710388,174.7932129,anonymous,EN,2,F_1IsEn7SHlqQMY4Y,Screenshot_20210329-111059_Instagram.jpg,679768,image/jpeg,2,2,2,"An area of the Waiohine Gorge, which is very private. It's a part of the river with a deep swimming hole, a cliff to jump off, and bush surrounding the area","Because it's the first place I think of. It's not somewhere I go very often, but it's always very peaceful and enoyable - it reminds me of home",2,2,2,2,1,2,1,2,2,4,90min drive,4,,1,5.0,1,,"2,5,6,9",,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,1.0,3.0,3.0,3.0,3.0,2.0,5.0,2.0,6.0,5.0,6.0,6.0,5.0,6.0,7.0,5.0,4.0,3.0,5.0,6.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,6.0,5.0,6.0,3.0,6.0,6.0,3.0,14.0,15.0,17.0,16.0,15.0,14.0,16.0,14.0,15.0,15.0,14.0,13.0,17.0,16.0,18.0,Female,9.0,"['because', 'it', 'the', 'first', 'place', 'i', 'think', 'of', 'it', 'not', 'somewhere', 'i', 'go', 'very', 'often', 'but', 'it', 'always', 'very', 'peaceful', 'and', 'enoyable', 'it', 'reminds', 'me', 'of', 'home']","['first', 'place', 'think', 'somewhere', 'go', 'often', 'always', 'peaceful', 'enoyable', 'reminds', 'home']",['first place think somewhere go often always peaceful enoyable reminds home'],0.165,0.0,0.835,0.6946,"[('because', 'IN'), ('it', 'PRP'), ('the', 'DT'), ('first', 'JJ'), ('place', 'NN'), ('i', 'NN'), ('think', 'VBP'), ('of', 'IN'), ('it', 'PRP'), ('not', 'RB'), ('somewhere', 'RB'), ('i', 'JJ'), ('go', 'VBP'), ('very', 'RB'), ('often', 'RB'), ('but', 'CC'), ('it', 'PRP'), ('always', 'RB'), ('very', 'RB'), ('peaceful', 'JJ'), ('and', 'CC'), ('enoyable', 'JJ'), ('it', 'PRP'), ('reminds', 'VBZ'), ('me', 'PRP'), ('of', 'IN'), ('home', 'NN')]"
16/04/2021 1:39,16/04/2021 1:58,0,122.58.216.9,100,1125,1,16/04/2021 2:00,R_3mko4pRZPhNlc2V,,,,,-41.36749268,174.7153015,anonymous,EN,2,F_a4VsubiaWiWV94Z,Photos.app.zip,26316215,application/zip,2,2,2,A resort in the Sunshine Coast in Australia,"Being in Australia is so similar to here but better. It's warmer, less windy, and there's just something about it the makes me feel so happy. ",1,2,2,1,2,2,1,2,2,1,,4,,1,4.0,"1,6",,"6,9",,5.0,5.0,1.0,1.0,2.0,1.0,1.0,6.0,6.0,6.0,4.0,1.0,6.0,6.0,1.0,2.0,1.0,1.0,6.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,6.0,7.0,5.0,5.0,6.0,6.0,6.0,3.0,3.0,6.0,6.0,3.0,3.0,5.0,6.0,6.0,4.0,6.0,5.0,4.0,6.0,3.0,3.0,4.0,2.0,2.0,6.0,4.0,4.0,3.0,5.0,6.0,4.0,2.0,3.0,6.0,3.0,6.0,6.0,4.0,5.0,6.0,5.0,4.0,13.0,13.0,16.0,14.0,13.0,15.0,13.0,16.0,15.0,14.0,13.0,13.0,14.0,17.0,24.0,Female,9.0,"['being', 'in', 'australia', 'is', 'so', 'similar', 'to', 'here', 'but', 'better', 'it', 'warmer', 'less', 'windy', 'and', 'there', 'just', 'something', 'about', 'it', 'the', 'makes', 'me', 'feel', 'so', 'happy']","['australia', 'similar', 'better', 'warmer', 'less', 'windy', 'something', 'makes', 'feel', 'happy']",['australia similar better warmer less windy something makes feel happy'],0.366,0.0,0.634,0.9356,"[('being', 'VBG'), ('in', 'IN'), ('australia', 'NN'), ('is', 'VBZ'), ('so', 'RB'), ('similar', 'JJ'), ('to', 'TO'), ('here', 'RB'), ('but', 'CC'), ('better', 'JJR'), ('it', 'PRP'), ('warmer', 'JJR'), ('less', 'RBR'), ('windy', 'JJ'), ('and', 'CC'), ('there', 'EX'), ('just', 'RB'), ('something', 'NN'), ('about', 'IN'), ('it', 'PRP'), ('the', 'DT'), ('makes', 'VBZ'), ('me', 'PRP'), ('feel', 'VB'), ('so', 'RB'), ('happy', 'JJ')]"
29/03/2021 18:06,29/03/2021 18:20,0,121.99.218.33,100,849,1,29/03/2021 18:20,R_241LJcBEgamHOhh,,,,,-41.29710388,174.7932129,anonymous,EN,2,F_2SkKELvTGesvsl0,1FB0FB0D-6605-4F53-9C10-F84B0256A571_1_105_c.jpeg,236040,image/jpeg,2,2,2,This is Zandvoort on sea. a sandy beach in the Netherlands,Being near the ocean is very calming for me and this specific place is very meaningful to me because i spent my last weekend living in the Netherlands at this beach with some close friends,2,2,2,2,1,2,1,2,2,4,1 hour drive,5,Never anymore as im now back in New Zealand,1,4.0,5,,5,,5.0,6.0,4.0,4.0,4.0,2.0,5.0,5.0,5.0,5.0,2.0,6.0,6.0,5.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,3.0,6.0,5.0,2.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,6.0,5.0,2.0,2.0,6.0,6.0,5.0,3.0,3.0,5.0,4.0,4.0,6.0,5.0,6.0,5.0,4.0,4.0,6.0,6.0,6.0,5.0,6.0,6.0,3.0,16.0,16.0,17.0,15.0,16.0,16.0,15.0,14.0,15.0,16.0,15.0,14.0,14.0,15.0,25.0,Female,9.0,"['being', 'near', 'the', 'ocean', 'is', 'very', 'calming', 'for', 'me', 'and', 'this', 'specific', 'place', 'is', 'very', 'meaningful', 'to', 'me', 'because', 'i', 'spent', 'my', 'last', 'weekend', 'living', 'in', 'the', 'netherlands', 'at', 'this', 'beach', 'with', 'some', 'close', 'friends']","['near', 'ocean', 'calming', 'specific', 'place', 'meaningful', 'spent', 'last', 'weekend', 'living', 'netherlands', 'beach', 'close', 'friends']",['near ocean calming specific place meaningful spent last weekend living netherlands beach close friends'],0.219,0.0,0.781,0.8265,"[('being', 'VBG'), ('near', 'IN'), ('the', 'DT'), ('ocean', 'NN'), ('is', 'VBZ'), ('very', 'RB'), ('calming', 'VBG'), ('for', 'IN'), ('me', 'PRP'), ('and', 'CC'), ('this', 'DT'), ('specific', 'JJ'), ('place', 'NN'), ('is', 'VBZ'), ('very', 'RB'), ('meaningful', 'JJ'), ('to', 'TO'), ('me', 'PRP'), ('because', 'IN'), ('i', 'NN'), ('spent', 'VBN'), ('my', 'PRP$'), ('last', 'JJ'), ('weekend', 'NN'), ('living', 'NN'), ('in', 'IN'), ('the', 'DT'), ('netherlands', 'NNS'), ('at', 'IN'), ('this', 'DT'), ('beach', 'NN'), ('with', 'IN'), ('some', 'DT'), ('close', 'JJ'), ('friends', 'NNS')]"
29/03/2021 18:00,29/03/2021 18:16,0,130.195.253.19,100,969,1,29/03/2021 18:16,R_2pW7sI28sT1HqyG,,,,,-41.29710388,174.7932129,anonymous,EN,2,F_1oCkVJ1GwH2ewSt,psyc survey.jpg,15181,image/jpeg,2,2,2,"Waterloo Primary school, ring of buildings around the field with 3 playgrounds, hall, library etc.","First school I ever went to, walked through it almost everyday of intermediate with my best friend and spent a lot of time there skating throughout lockdown.",2,2,2,2,2,1,2,1,2,1,,4,,1,5.0,,,"3,5,6,7,8",,2.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,3.0,3.0,4.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,6.0,4.0,5.0,6.0,5.0,6.0,2.0,3.0,4.0,4.0,6.0,5.0,6.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,6.0,2.0,14.0,13.0,16.0,15.0,14.0,15.0,14.0,15.0,14.0,14.0,14.0,15.0,15.0,16.0,19.0,Male,9.0,"['first', 'school', 'i', 'ever', 'went', 'to', 'walked', 'through', 'it', 'almost', 'everyday', 'of', 'intermediate', 'with', 'my', 'best', 'friend', 'and', 'spent', 'a', 'lot', 'of', 'time', 'there', 'skating', 'throughout', 'lockdown']","['first', 'school', 'ever', 'went', 'walked', 'almost', 'everyday', 'intermediate', 'best', 'friend', 'spent', 'lot', 'time', 'skating', 'throughout', 'lockdown']",['first school ever went walked almost everyday intermediate best friend spent lot time skating throughout lockdown'],0.243,0.0,0.757,0.8126,"[('first', 'JJ'), ('school', 'NN'), ('i', 'NN'), ('ever', 'RB'), ('went', 'VBD'), ('to', 'TO'), ('walked', 'VBN'), ('through', 'IN'), ('it', 'PRP'), ('almost', 'RB'), ('everyday', 'IN'), ('of', 'IN'), ('intermediate', 'NN'), ('with', 'IN'), ('my', 'PRP$'), ('best', 'JJS'), ('friend', 'NN'), ('and', 'CC'), ('spent', 'VB'), ('a', 'DT'), ('lot', 'NN'), ('of', 'IN'), ('time', 'NN'), ('there', 'EX'), ('skating', 'VBG'), ('throughout', 'IN'), ('lockdown', 'NN')]"
31/03/2021 17:04,31/03/2021 17:35,0,130.195.253.20,100,1822,1,31/03/2021 17:35,R_1H5DLanoerf5cwx,,,,,-41.29710388,174.7932129,anonymous,EN,2,F_wTyEIZeRJr69bIB,important photograph.jpg,63175,image/jpeg,2,2,2,it is lake moana-nui in Tokoroa New Zealand. the photo is taken during the fireworks event that takes place during the annual Take a Kid Fishing weekend.,"Firstly, Tokoroa is the town that I grew up in and lived in till I was 18 before moving to Wellington. Secondly, this was the first time that the fireworks event had taken place and it was organised my my mum. In this moment I was so proud of her for organising something that was able to bring out community together. ",2,2,2,2,2,2,2,2,2,1,,5,monthly while I was living there but probably not regularly now living in Wellington,1,4.0,4,,"1,2,4,6,9",,7.0,7.0,3.0,5.0,7.0,6.0,4.0,7.0,7.0,7.0,4.0,7.0,7.0,6.0,1.0,1.0,5.0,1.0,7.0,7.0,6.0,7.0,2.0,2.0,2.0,1.0,6.0,7.0,4.0,7.0,7.0,5.0,5.0,6.0,7.0,5.0,1.0,7.0,7.0,7.0,5.0,1.0,1.0,2.0,5.0,4.0,5.0,5.0,6.0,3.0,3.0,4.0,5.0,4.0,2.0,5.0,5.0,5.0,3.0,6.0,2.0,3.0,1.0,5.0,5.0,5.0,3.0,7.0,7.0,3.0,16.0,15.0,16.0,16.0,14.0,16.0,14.0,14.0,14.0,15.0,14.0,16.0,16.0,15.0,18.0,female,9.0,"['firstly', 'tokoroa', 'is', 'the', 'town', 'that', 'i', 'grew', 'up', 'in', 'and', 'lived', 'in', 'till', 'i', 'was', 'before', 'moving', 'to', 'wellington', 'secondly', 'this', 'was', 'the', 'first', 'time', 'that', 'the', 'fireworks', 'event', 'had', 'taken', 'place', 'and', 'it', 'was', 'organised', 'my', 'my', 'mum', 'in', 'this', 'moment', 'i', 'was', 'so', 'proud', 'of', 'her', 'for', 'organising', 'something', 'that', 'was', 'able', 'to', 'bring', 'out', 'community', 'together']","['firstly', 'tokoroa', 'town', 'grew', 'lived', 'till', 'moving', 'wellington', 'secondly', 'first', 'time', 'fireworks', 'event', 'taken', 'place', 'organised', 'mum', 'moment', 'proud', 'organising', 'something', 'able', 'bring', 'community', 'together']",['firstly tokoroa town grew lived till moving wellington secondly first time fireworks event taken place organised mum moment proud organising something able bring community together'],0.065,0.0,0.935,0.6113,"[('firstly', 'RB'), ('tokoroa', 'EX'), ('is', 'VBZ'), ('the', 'DT'), ('town', 'NN'), ('that', 'IN'), ('i', 'NN'), ('grew', 'VBD'), ('up', 'RP'), ('in', 'IN'), ('and', 'CC'), ('lived', 'VBD'), ('in', 'IN'), ('till', 'NN'), ('i', 'NN'), ('was', 'VBD'), ('before', 'IN'), ('moving', 'VBG'), ('to', 'TO'), ('wellington', 'VB'), ('secondly', 'RB'), ('this', 'DT'), ('was', 'VBD'), ('the', 'DT'), ('first', 'JJ'), ('time', 'NN'), ('that', 'IN'), ('the', 'DT'), ('fireworks', 'JJ'), ('event', 'NN'), ('had', 'VBD'), ('taken', 'VBN'), ('place', 'NN'), ('and', 'CC'), ('it', 'PRP'), ('was', 'VBD'), ('organised', 'VBN'), ('my', 'PRP$'), ('my', 'PRP$'), ('mum', 'NN'), ('in', 'IN'), ('this', 'DT'), ('moment', 'NN'), ('i', 'NN'), ('was', 'VBD'), ('so', 'RB'), ('proud', 'JJ'), ('of', 'IN'), ('her', 'PRP$'), ('for', 'IN'), ('organising', 'VBG'), ('something', 'NN'), ('that', 'WDT'), ('was', 'VBD'), ('able', 'JJ'), ('to', 'TO'), ('bring', 'VB'), ('out', 'RP'), ('community', 'NN'), ('together', 'RB')]"
16/04/2021 2:30,16/04/2021 2:52,0,151.210.160.197,100,1338,1,16/04/2021 2:52,R_vBq4b9yKDVutPt7,,,,,-41.36749268,174.7153015,anonymous,EN,2,F_1Ok99r1UrZNytr4,5398a22b-0cd3-49fb-a86b-94a273d6def1.jpg,70359,image/jpeg,2,2,2,"The photo is of part of the field at Kapiti College during sunset. It was on top of hill part the field and it was during a camp so there were tents, campervans and cars around.",For the past 5 years I have been there for a camp that takes place there. Its over a long weekend and i would go with one of my best friends and her family. I have a lot of good memories there with my friend.,2,2,2,1,2,1,1,1,2,1,,5,Once a year,1,4.0,,,"1,3,6",,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,6.0,6.0,2.0,5.0,5.0,6.0,5.0,6.0,3.0,5.0,1.0,3.0,5.0,4.0,3.0,3.0,6.0,3.0,3.0,3.0,6.0,3.0,6.0,6.0,7.0,6.0,3.0,6.0,6.0,5.0,5.0,4.0,6.0,6.0,4.0,6.0,2.0,5.0,5.0,2.0,2.0,6.0,7.0,2.0,15.0,15.0,17.0,14.0,14.0,16.0,16.0,14.0,16.0,14.0,13.0,13.0,16.0,14.0,18.0,Non-Binary,9.0,"['for', 'the', 'past', 'years', 'i', 'have', 'been', 'there', 'for', 'a', 'camp', 'that', 'takes', 'place', 'there', 'its', 'over', 'a', 'long', 'weekend', 'and', 'i', 'would', 'go', 'with', 'one', 'of', 'my', 'best', 'friends', 'and', 'her', 'family', 'i', 'have', 'a', 'lot', 'of', 'good', 'memories', 'there', 'with', 'my', 'friend']","['past', 'years', 'camp', 'takes', 'place', 'long', 'weekend', 'would', 'go', 'one', 'best', 'friends', 'family', 'lot', 'good', 'memories', 'friend']",['past years camp takes place long weekend would go one best friends family lot good memories friend'],0.283,0.0,0.717,0.9246,"[('for', 'IN'), ('the', 'DT'), ('past', 'JJ'), ('years', 'NNS'), ('i', 'VBP'), ('have', 'VBP'), ('been', 'VBN'), ('there', 'EX'), ('for', 'IN'), ('a', 'DT'), ('camp', 'NN'), ('that', 'WDT'), ('takes', 'VBZ'), ('place', 'NN'), ('there', 'EX'), ('its', 'PRP$'), ('over', 'IN'), ('a', 'DT'), ('long', 'JJ'), ('weekend', 'NN'), ('and', 'CC'), ('i', 'NN'), ('would', 'MD'), ('go', 'VB'), ('with', 'IN'), ('one', 'CD'), ('of', 'IN'), ('my', 'PRP$'), ('best', 'JJS'), ('friends', 'NNS'), ('and', 'CC'), ('her', 'PRP$'), ('family', 'NN'), ('i', 'NN'), ('have', 'VBP'), ('a', 'DT'), ('lot', 'NN'), ('of', 'IN'), ('good', 'JJ'), ('memories', 'NNS'), ('there', 'RB'), ('with', 'IN'), ('my', 'PRP$'), ('friend', 'NN')]"
